Name,Siblings,# Transits,Rp/Rs,Semimajor axis [AU],Inclincation [Deg],Eccentricity,Arg. of Periastron,Rel. Depth,Chi-sqaure,Depth Recovery RMS [Days],TTV recovery RMS,Failed fitting,Failed injection
Kepler-1655 b,None,119,0.0155892231538461,21.29644133570618,90.0,0.0,-71.0,0.0002975712065621,1.447305781052546e-07,9.597522976013084e-05,0.1171297069776864,False,False
Kepler-424 b,c,441,0.1056123802105263,9.484044227335028,84.21052631578948,0.0,0.0,0.006308678053871,2.2782544204642885e-07,,,False,True
Kepler-1 b,None,595,0.15039873864,7.649764432412207,83.15789473684211,0.0,146.0,0.0157516417185464,3.210199078421422e-07,0.0045283109984906,0.0982202017294808,False,False
Kepler-1656 b,None,44,0.0431816978480392,38.0,89.0,0.0,53.9,0.0019804589052672,2.5837797505787377e-07,0.0001972769639433,0.0757841418716342,False,False
Kepler-229 c,"d, b",89,0.0652176743243243,33.853015379613765,89.47368421052632,0.0,0.0,0.0050745923829509,1.2984764270069557e-06,0.0006402014767727,0.1592371241149931,False,False
Kepler-1642 b,,,,,,,,,,,,True,True
Kepler-493 b,None,485,0.0893854136752136,8.068295789751902,89.47368421052632,0.0,0.0,0.0097600416652389,1.7113266533466495e-05,0.002207498465965,0.1450133374372212,False,False
Kepler-51 d,"b, c",11,0.1000751507553191,117.14670432075752,90.0,0.0,-12.6,0.0122479204783879,1.999802835154692e-05,0.0030997599928739,0.3506858049233817,False,False
Kepler-725 b,None,35,0.1160710891566265,57.12597879405945,89.47368421052632,0.0,0.0,0.0151899300859543,2.5702519482090647e-05,0.0029469693225804,0.2379833882232996,False,False
Kepler-126 d,"b, c",14,0.0185914777205882,70.78664661218934,89.47368421052632,0.0,0.0,0.0003699076692553,7.292864491334584e-09,0.0001027836118462,0.6081766493276554,False,False
Kepler-1658 b,None,373,0.0358896082274247,7.882110495207758,84.21052631578948,0.0,-7.73,0.0012414753990779,3.452235433556186e-07,0.0002453665764926,0.1499154539154208,False,False
Kepler-491 b,None,344,0.0798900304761904,10.731122210177016,87.36842105263158,0.0,0.0,0.0072856456003624,1.448221786197454e-07,0.0018459475016807,0.1390679442970334,False,False
Kepler-63 b,None,150,0.0526109865,20.858106815010093,88.42105263157895,0.0,0.0,0.0030682220420467,5.61077750209856e-05,0.0009704594027753,0.1475107255159015,False,False
Kepler-138 c,"d, b",103,0.0224287335833333,36.03777523402851,89.47368421052632,0.0,206.5,0.0005983679084493,2.477314460486285e-06,0.0001389928734032,0.1180459967317218,False,False
Kepler-506 b,None,202,0.0226018192436974,13.534368885421951,93.6842105263158,0.0,0.0,0.0004508305585777,6.43912344703113e-07,9.179969694124403e-05,0.1140763731602692,False,False
Kepler-44 b,None,449,0.0792203773972602,6.50987375528489,84.21052631578948,0.0,0.0,0.0066806329707804,2.998716171001171e-07,0.0008532519061465,0.1242418839376848,False,False
Kepler-79 d,"b, e, c",28,0.0493042147126436,46.49964642884898,89.47368421052632,0.0,0.0,0.0028300898232765,1.3789521434235818e-07,0.0006058284917174,0.3412100629308047,False,False
Kepler-220 e,"d, b, c",32,0.0304115272173913,70.44636255091935,89.47368421052632,0.0,0.0,0.0009912591016113,1.8122470722489087e-06,0.0001274357443174,0.3470731676655448,False,False
Kepler-538 b,None,17,0.0217005911724137,87.24862786702884,90.0,0.0,140.0,0.0005765974518484,3.761403291569009e-07,0.0001036057577408,0.2778601870247988,False,False
Kepler-492 b,None,124,0.0968099714285714,26.11103209537346,88.42105263157895,0.0,0.0,0.0095793267841951,3.61504632214661e-07,0.0011329959680964,0.0904084824988409,False,False
Kepler-518 b,None,167,0.0350694872131147,20.234161419327013,87.36842105263158,0.0,0.0,0.0009681607767811,5.731661003738813e-07,0.0001758573409993,0.1364574376269983,False,False
Kepler-94 b,c,581,0.0338587394594594,9.03715689533037,88.42105263157895,0.0,0.0,0.0013813009470264,6.736995086271993e-07,0.0082494093602566,0.0348079055966408,False,False
Kepler-1514 b,c,7,0.0846813187445255,114.70467650244092,90.0,0.0,-75.28,0.0087728395902452,1.7057995660550825e-06,0.0018217789353328,0.7126185509666826,False,False
Kepler-13 b,None,834,0.0599021317647058,2.583757399684291,85.0,0.0,66.5,0.0043349531276036,2.511906483142034e-07,0.0020936436589824,0.2297521955446895,False,False
Kepler-696 b,None,339,0.04984078225,9.586844627173884,93.6842105263158,0.0,0.0,0.0027033965378325,,0.0004399258209422,0.1445750079010421,False,False
Kepler-670 b,None,505,0.1222934520833333,8.556482821449586,93.6842105263158,0.0,0.0,0.01669851172722,2.7423495444288724e-06,0.0021038844369069,0.0861179958243697,False,False
Kepler-177 c,b,29,0.0505984321495327,54.280514989249696,90.0,0.0,0.0,0.0031339364251381,1.971737268536632e-07,0.000669901185626,0.2486294817726148,False,False
Kepler-1524 b,None,20,0.0250065034170854,69.41536454417698,90.0,0.0,0.0,0.0007656443848237,3.679352883401306e-05,,,False,True
Kepler-93 b,c,309,0.014056074097826,12.422774285273269,89.47368421052632,0.0,0.0,0.0002411281801707,4.046001825822288e-09,4.556915067083951e-05,0.1299642249278181,False,False
Kepler-450 b,"d, c",50,0.0343774858044164,27.187645814355086,89.47368421052632,0.0,0.0,0.0014238063077471,5.8455300559646883e-08,0.0003324769526063,0.3732233876792564,False,False
Kepler-221 d,"b, e, c",145,0.0437310700666666,23.897226158502978,89.47368421052632,0.0,0.0,0.002312421378962,3.6322438060434514e-05,0.0003657934815032,0.160549588173979,False,False
Kepler-951 b,,,,,,,,,,,,True,True
Kepler-856 b,None,154,0.0894636846153846,18.59672602629766,88.42105263157895,0.0,0.0,0.00907374367525,3.601854946661041e-07,0.0020833902761006,0.1381605339681383,False,False
Kepler-65 c,"d, b, e",249,0.0165096563380281,10.38816703578984,87.36842105263158,0.0,0.0,0.0003130442651688,9.167566447311597e-09,0.0029013095278109,0.0902718446972739,False,False
Kepler-700 b,None,18,0.0584427763636363,65.85844597916494,89.47368421052632,0.0,0.0,0.0037355500460906,4.234576817491681e-07,0.0006047823365584,0.5298089223266027,False,False
Kepler-719 b,None,284,0.077733965116279,13.9270744377375,89.47368421052632,0.0,0.0,0.0073628848613735,1.9687181009963897e-06,0.0015191776752412,0.1967375898709565,False,False
Kepler-460 c,b,7,0.0401884676258992,111.538196348159,90.0,0.0,0.0,0.0019772897021237,3.438645074808828e-07,0.0006828809358433,0.7891078163294929,False,False
Kepler-396 b,c,34,0.0301937192160804,49.20883719398849,89.47,0.0,0.0,0.0010536232510151,5.818187572327983e-05,0.0004367968589983,0.2825135102891536,False,False
Kepler-720 b,None,302,0.0844101043478261,10.07845770801474,93.6842105263158,0.0,0.0,0.0076203254228913,3.673769804809274e-07,0.0009066971281168,0.1103390092976099,False,False
Kepler-412 b,None,848,0.0949490213178294,4.934068262801078,81.05263157894737,0.0,125.0,0.0088739667565104,7.346400597423554e-07,0.0033283480169908,0.1235882966367726,False,False
Kepler-734 b,None,233,0.0424201505747126,15.24997263284895,89.47368421052632,0.0,0.0,0.0021920346722853,3.3445438766839705e-07,0.000314879796639,0.2169777772385252,False,False
Kepler-472 b,None,350,0.0335936893670886,13.038017962142549,89.47368421052632,0.0,0.0,0.0013766994974474,,0.0004673929391895,0.2185643535489571,False,False
Kepler-2 b,None,667,0.0754244738693467,4.111542062431405,83.15789473684211,0.0,184.5,0.0065008082785947,1.7400449895073133e-07,0.0030520181065989,0.2923647025098299,False,False
Kepler-688 b,None,365,0.0901490196610169,11.15250862378663,93.6842105263158,0.0,0.0,0.0083274660391677,9.296104196852264e-07,0.0013973620690197,0.1088126258027634,False,False
